record_id,crop,symptom,diagnosis,image_paths
D00030,Apple,"brown or dark brown spots, irregular, of varying sizes",Brown Spot,"images\Apple,Brown Spot\plant_76399.jpg"
D00031,Apple,"yellow orange spots, circular in shape, varying in size",Cedar Apple Rust,"images\Apple,Cedar Apple Rust\plant_81064.jpg"
D00032,Apple,"yellow orange spots, circular in shape, varying in size",Cedar Apple Rust,"images\Apple,Cedar Apple Rust\plant_81137.jpg"
D00033,Apple,"yellow orange spots, circular in shape, varying in size",Cedar Apple Rust,"images\Apple,Cedar Apple Rust\plant_81166.jpg"
D00034,Apple,"yellow orange spots, circular in shape, varying in size",Cedar Apple Rust,"images\Apple,Cedar Apple Rust\plant_81221.jpg"
D00035,Apple,"yellow orange spots, circular in shape, varying in size",Cedar Apple Rust,"images\Apple,Cedar Apple Rust\plant_81268.jpg"
D00036,Apple,"yellow orange spots, circular in shape, varying in size",Cedar Apple Rust,"images\Apple,Cedar Apple Rust\plant_81283.jpg"
D00037,Apple,"yellow orange spots, circular in shape, varying in size",Cedar Apple Rust,"images\Apple,Cedar Apple Rust\plant_81293.jpg"
D00038,Apple,"yellow orange spots, circular in shape, varying in size",Cedar Apple Rust,"images\Apple,Cedar Apple Rust\plant_81308.jpg"
D00039,Apple,"yellow orange spots, circular in shape, varying in size",Cedar Apple Rust,"images\Apple,Cedar Apple Rust\plant_81311.jpg"
D00040,Apple,"yellow orange spots, circular in shape, varying in size",Cedar Apple Rust,"images\Apple,Cedar Apple Rust\plant_81312.jpg"
D00041,Apple,"dark brown or light brown circular spots with dark edges, varying sizes, yellow halo",Frog Eye Leaf Spot,"images\Apple,Frog Eye Leaf Spot\plant_81393.jpg"
D00042,Apple,"dark brown or light brown circular spots with dark edges, varying sizes, yellow halo",Frog Eye Leaf Spot,"images\Apple,Frog Eye Leaf Spot\plant_81686.jpg"
D00043,Apple,"dark brown or light brown circular spots with dark edges, varying sizes, yellow halo",Frog Eye Leaf Spot,"images\Apple,Frog Eye Leaf Spot\plant_81816.jpg"
D00044,Apple,"dark brown or light brown circular spots with dark edges, varying sizes, yellow halo",Frog Eye Leaf Spot,"images\Apple,Frog Eye Leaf Spot\plant_81825.jpg"
D00045,Apple,"dark brown or light brown circular spots with dark edges, varying sizes, yellow halo",Frog Eye Leaf Spot,"images\Apple,Frog Eye Leaf Spot\plant_81861.jpg"
D00046,Apple,"dark brown or light brown circular spots with dark edges, varying sizes, yellow halo",Frog Eye Leaf Spot,"images\Apple,Frog Eye Leaf Spot\plant_81977.jpg"
D00047,Apple,"dark brown or light brown circular spots with dark edges, varying sizes, yellow halo",Frog Eye Leaf Spot,"images\Apple,Frog Eye Leaf Spot\plant_82030.jpg"
D00048,Apple,"dark brown or light brown circular spots with dark edges, varying sizes, yellow halo",Frog Eye Leaf Spot,"images\Apple,Frog Eye Leaf Spot\plant_82075.jpg"
D00049,Apple,"dark brown or light brown circular spots with dark edges, varying sizes, yellow halo",Frog Eye Leaf Spot,"images\Apple,Frog Eye Leaf Spot\plant_82093.jpg"
D00050,Apple,"dark brown or light brown circular spots with dark edges, varying sizes, yellow halo",Frog Eye Leaf Spot,"images\Apple,Frog Eye Leaf Spot\plant_82225.jpg"
D00051,Apple,"grey or grey brown circular spots, irregular in shape and varying in size",Grey Spot,"images\Apple,Grey Spot\plant_84594.jpg"
D00052,Apple,"grey or grey brown circular spots, irregular in shape and varying in size",Grey Spot,"images\Apple,Grey Spot\plant_84684.jpg"
D00053,Apple,"grey or grey brown circular spots, irregular in shape and varying in size",Grey Spot,"images\Apple,Grey Spot\plant_84989.jpg"
D00054,Apple,"grey or grey brown circular spots, irregular in shape and varying in size",Grey Spot,"images\Apple,Grey Spot\plant_85402.jpg"
D00055,Apple,"grey or grey brown circular spots, irregular in shape and varying in size",Grey Spot,"images\Apple,Grey Spot\plant_85823.jpg"
D00056,Apple,"grey or grey brown circular spots, irregular in shape and varying in size",Grey Spot,"images\Apple,Grey Spot\plant_87080.jpg"
D00057,Apple,"grey or grey brown circular spots, irregular in shape and varying in size",Grey Spot,"images\Apple,Grey Spot\plant_87288.jpg"
D00058,Apple,"grey or grey brown circular spots, irregular in shape and varying in size",Grey Spot,"images\Apple,Grey Spot\plant_87633.jpg"
D00059,Apple,"grey or grey brown circular spots, irregular in shape and varying in size",Grey Spot,"images\Apple,Grey Spot\plant_87833.jpg"
D00060,Apple,"grey or grey brown circular spots, irregular in shape and varying in size",Grey Spot,"images\Apple,Grey Spot\plant_87950.jpg"
D00061,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Apple,Healthy\plant_89619.jpg"
D00062,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Apple,Healthy\plant_89842.jpg"
D00063,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Apple,Healthy\plant_89939.jpg"
D00064,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Apple,Healthy\plant_90205.jpg"
D00065,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Apple,Healthy\plant_90662.jpg"
D00066,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Apple,Healthy\plant_91035.jpg"
D00067,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Apple,Healthy\plant_91225.jpg"
D00068,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Apple,Healthy\plant_91556.jpg"
D00069,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Apple,Healthy\plant_91631.jpg"
D00070,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Apple,Healthy\plant_91679.jpg"
D00071,Apple,"yellow orange or light yellow or orange yellow pustules, circular spots",Leaf Rust,"images\Apple,Leaf Rust\plant_95707.jpg"
D00072,Apple,"yellow orange or light yellow or orange yellow pustules, circular spots",Leaf Rust,"images\Apple,Leaf Rust\plant_95818.jpg"
D00073,Apple,"yellow orange or light yellow or orange yellow pustules, circular spots",Leaf Rust,"images\Apple,Leaf Rust\plant_96013.jpg"
D00074,Apple,"yellow orange or light yellow or orange yellow pustules, circular spots",Leaf Rust,"images\Apple,Leaf Rust\plant_96066.jpg"
D00075,Apple,"yellow orange or light yellow or orange yellow pustules, circular spots",Leaf Rust,"images\Apple,Leaf Rust\plant_96256.jpg"
D00076,Apple,"yellow orange or light yellow or orange yellow pustules, circular spots",Leaf Rust,"images\Apple,Leaf Rust\plant_96410.jpg"
D00077,Apple,"yellow orange or light yellow or orange yellow pustules, circular spots",Leaf Rust,"images\Apple,Leaf Rust\plant_96465.jpg"
D00078,Apple,"yellow orange or light yellow or orange yellow pustules, circular spots",Leaf Rust,"images\Apple,Leaf Rust\plant_96554.jpg"
D00079,Apple,"yellow orange or light yellow or orange yellow pustules, circular spots",Leaf Rust,"images\Apple,Leaf Rust\plant_96591.jpg"
D00080,Apple,"yellow orange or light yellow or orange yellow pustules, circular spots",Leaf Rust,"images\Apple,Leaf Rust\plant_96827.jpg"
D00081,Apple,irregular yellow and green mosaic patterns/mottle,Mosaic Virus,"images\Apple,Mosaic Virus\plant_103299.jpg"
D00082,Apple,irregular yellow and green mosaic patterns/mottle,Mosaic Virus,"images\Apple,Mosaic Virus\plant_103713.jpg"
D00083,Apple,irregular yellow and green mosaic patterns/mottle,Mosaic Virus,"images\Apple,Mosaic Virus\plant_103757.jpg"
D00084,Apple,irregular yellow and green mosaic patterns/mottle,Mosaic Virus,"images\Apple,Mosaic Virus\plant_103972.jpg"
D00085,Apple,irregular yellow and green mosaic patterns/mottle,Mosaic Virus,"images\Apple,Mosaic Virus\plant_103986.jpg"
D00086,Apple,irregular yellow and green mosaic patterns/mottle,Mosaic Virus,"images\Apple,Mosaic Virus\plant_104543.jpg"
D00087,Apple,irregular yellow and green mosaic patterns/mottle,Mosaic Virus,"images\Apple,Mosaic Virus\plant_104809.jpg"
D00088,Apple,irregular yellow and green mosaic patterns/mottle,Mosaic Virus,"images\Apple,Mosaic Virus\plant_104978.jpg"
D00089,Apple,irregular yellow and green mosaic patterns/mottle,Mosaic Virus,"images\Apple,Mosaic Virus\plant_105084.jpg"
D00090,Apple,irregular yellow and green mosaic patterns/mottle,Mosaic Virus,"images\Apple,Mosaic Virus\plant_105139.jpg"
D00091,Apple,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Apple,Powdery Mildew\plant_108077.jpg"
D00092,Apple,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Apple,Powdery Mildew\plant_108151.jpg"
D00093,Apple,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Apple,Powdery Mildew\plant_108235.jpg"
D00094,Apple,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Apple,Powdery Mildew\plant_108338.jpg"
D00095,Apple,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Apple,Powdery Mildew\plant_108350.jpg"
D00096,Apple,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Apple,Powdery Mildew\plant_108441.jpg"
D00097,Apple,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Apple,Powdery Mildew\plant_108498.jpg"
D00098,Apple,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Apple,Powdery Mildew\plant_108797.jpg"
D00099,Apple,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Apple,Powdery Mildew\plant_108890.jpg"
D00100,Apple,"white powdery spots, circular spots, irregular",Powdery Mildew,"images\Apple,Powdery Mildew\plant_108926.jpg"
D00101,Apple,"dark brown, olive green to black spots, circula and irregular",Scab,"images\Apple,Scab\plant_114134.jpg"
D00102,Apple,"dark brown, olive green to black spots, circula and irregular",Scab,"images\Apple,Scab\plant_114137.jpg"
D00103,Apple,"dark brown, olive green to black spots, circula and irregular",Scab,"images\Apple,Scab\plant_114187.jpg"
D00104,Apple,"dark brown, olive green to black spots, circula and irregular",Scab,"images\Apple,Scab\plant_114261.jpg"
D00105,Apple,"dark brown, olive green to black spots, circula and irregular",Scab,"images\Apple,Scab\plant_114284.jpg"
D00106,Apple,"dark brown, olive green to black spots, circula and irregular",Scab,"images\Apple,Scab\plant_114299.jpg"
D00107,Apple,"dark brown, olive green to black spots, circula and irregular",Scab,"images\Apple,Scab\plant_114421.jpg"
D00108,Apple,"dark brown, olive green to black spots, circula and irregular",Scab,"images\Apple,Scab\plant_114541.jpg"
D00109,Apple,"dark brown, olive green to black spots, circula and irregular",Scab,"images\Apple,Scab\plant_114548.jpg"
D00110,Apple,"dark brown, olive green to black spots, circula and irregular",Scab,"images\Apple,Scab\plant_114595.jpg"
D00111,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127656.jpg"
D00112,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127657.jpg"
D00113,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127658.jpg"
D00114,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127659.jpg"
D00115,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127660.jpg"
D00116,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127661.jpg"
D00117,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127662.jpg"
D00118,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127663.jpg"
D00119,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127664.jpg"
D00120,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127665.jpg"
D00121,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127666.jpg"
D00122,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127667.jpg"
D00123,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127668.jpg"
D00124,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127669.jpg"
D00125,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127670.jpg"
D00126,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127671.jpg"
D00127,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127672.jpg"
D00128,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127673.jpg"
D00129,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127674.jpg"
D00130,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127675.jpg"
D00131,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127759.jpg"
D00132,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_127930.jpg"
D00133,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_128174.jpg"
D00134,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_128305.jpg"
D00135,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_128315.jpg"
D00136,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_128485.jpg"
D00137,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_128534.jpg"
D00138,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_128574.jpg"
D00139,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_128624.jpg"
D00140,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial Spot\plant_128645.jpg"
D00141,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128653.jpg"
D00142,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128654.jpg"
D00143,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128655.jpg"
D00144,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128656.jpg"
D00145,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128657.jpg"
D00146,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128658.jpg"
D00147,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128659.jpg"
D00148,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128660.jpg"
D00149,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128661.jpg"
D00150,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128662.jpg"
D00151,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128664.jpg"
D00152,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128665.jpg"
D00153,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128666.jpg"
D00154,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128667.jpg"
D00155,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128668.jpg"
D00156,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128669.jpg"
D00157,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128670.jpg"
D00158,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128671.jpg"
D00159,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128672.jpg"
D00160,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128673.jpg"
D00161,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128736.jpg"
D00162,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128790.jpg"
D00163,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128803.jpg"
D00164,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128831.jpg"
D00165,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_128927.jpg"
D00166,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_129053.jpg"
D00167,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_129149.jpg"
D00168,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_129181.jpg"
D00169,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_129202.jpg"
D00170,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,Healthy\plant_129257.jpg"
D00171,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62981.jpg"
D00172,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62982.jpg"
D00173,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62983.jpg"
D00174,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62984.jpg"
D00175,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62985.jpg"
D00176,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62986.jpg"
D00177,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62987.jpg"
D00178,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62988.jpg"
D00179,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62989.jpg"
D00180,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62990.jpg"
D00181,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62991.jpg"
D00182,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62992.jpg"
D00183,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62993.jpg"
D00184,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62994.jpg"
D00185,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62995.jpg"
D00186,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62996.jpg"
D00187,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62997.jpg"
D00188,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62998.jpg"
D00189,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_62999.jpg"
D00190,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63000.jpg"
D00191,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63017.jpg"
D00192,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63045.jpg"
D00193,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63270.jpg"
D00194,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63310.jpg"
D00195,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63476.jpg"
D00196,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63542.jpg"
D00197,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63643.jpg"
D00198,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63737.jpg"
D00199,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63908.jpg"
D00200,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63949.jpg"
D00201,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63950.jpg"
D00202,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63951.jpg"
D00203,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63952.jpg"
D00204,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Blueberry,Healthy\plant_63953.jpg"
