record_id,crop,symptom,diagnosis,image_paths,confirmed_by
D00070,Apple,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Apple,healthy\image (30).JPG",PlantVillage
D00071,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (1).JPG",PlantVillage
D00072,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (2).JPG",PlantVillage
D00073,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (3).JPG",PlantVillage
D00074,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (4).JPG",PlantVillage
D00075,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (5).JPG",PlantVillage
D00076,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (6).JPG",PlantVillage
D00077,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (7).JPG",PlantVillage
D00078,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (8).JPG",PlantVillage
D00079,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (9).JPG",PlantVillage
D00080,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (10).JPG",PlantVillage
D00081,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (11).JPG",PlantVillage
D00082,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (12).JPG",PlantVillage
D00083,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (13).JPG",PlantVillage
D00084,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (14).JPG",PlantVillage
D00085,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (15).JPG",PlantVillage
D00086,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (16).JPG",PlantVillage
D00087,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (17).JPG",PlantVillage
D00088,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (18).JPG",PlantVillage
D00089,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (19).JPG",PlantVillage
D00090,Apple,"dark brown, olive green to black spots, circula and irregular",scab,"images\Apple,scab\image (20).JPG",PlantVillage
D00091,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (1).JPG",PlantVillage
D00092,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (2).JPG",PlantVillage
D00093,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (3).JPG",PlantVillage
D00094,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (4).JPG",PlantVillage
D00095,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (5).JPG",PlantVillage
D00096,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (6).JPG",PlantVillage
D00097,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (7).JPG",PlantVillage
D00098,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (8).JPG",PlantVillage
D00099,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (9).JPG",PlantVillage
D00100,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (10).JPG",PlantVillage
D00101,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (11).JPG",PlantVillage
D00102,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (12).JPG",PlantVillage
D00103,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (13).JPG",PlantVillage
D00104,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (14).JPG",PlantVillage
D00105,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (15).JPG",PlantVillage
D00106,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (16).JPG",PlantVillage
D00107,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (17).JPG",PlantVillage
D00108,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (18).JPG",PlantVillage
D00109,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (19).JPG",PlantVillage
D00110,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (20).JPG",PlantVillage
D00111,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (21).JPG",PlantVillage
D00112,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (22).JPG",PlantVillage
D00113,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (23).JPG",PlantVillage
D00114,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (24).JPG",PlantVillage
D00115,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (25).JPG",PlantVillage
D00116,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (26).JPG",PlantVillage
D00117,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (27).JPG",PlantVillage
D00118,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (28).JPG",PlantVillage
D00119,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (29).JPG",PlantVillage
D00120,Bell Pepper,"dark brown to black spots, water-soaked spots,irregular",Bacterial Spot,"images\Bell Pepper,Bacterial spot\image (30).JPG",PlantVillage
D00121,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (1).JPG",PlantVillage
D00122,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (2).JPG",PlantVillage
D00123,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (3).JPG",PlantVillage
D00124,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (4).JPG",PlantVillage
D00125,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (5).JPG",PlantVillage
D00126,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (6).JPG",PlantVillage
D00127,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (7).JPG",PlantVillage
D00128,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (8).JPG",PlantVillage
D00129,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (9).JPG",PlantVillage
D00130,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (10).JPG",PlantVillage
D00131,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (11).JPG",PlantVillage
D00132,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (12).JPG",PlantVillage
D00133,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (13).JPG",PlantVillage
D00134,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (14).JPG",PlantVillage
D00135,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (15).JPG",PlantVillage
D00136,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (16).JPG",PlantVillage
D00137,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (17).JPG",PlantVillage
D00138,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (18).JPG",PlantVillage
D00139,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (19).JPG",PlantVillage
D00140,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (20).JPG",PlantVillage
D00141,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (21).JPG",PlantVillage
D00142,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (22).JPG",PlantVillage
D00143,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (23).JPG",PlantVillage
D00144,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (24).JPG",PlantVillage
D00145,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (25).JPG",PlantVillage
D00146,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (26).JPG",PlantVillage
D00147,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (27).JPG",PlantVillage
D00148,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (28).JPG",PlantVillage
D00149,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (29).JPG",PlantVillage
D00150,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (30).JPG",PlantVillage
D00151,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (31).JPG",PlantVillage
D00152,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (32).JPG",PlantVillage
D00153,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (33).JPG",PlantVillage
D00154,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (34).JPG",PlantVillage
D00155,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (35).JPG",PlantVillage
D00156,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (36).JPG",PlantVillage
D00157,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (37).JPG",PlantVillage
D00158,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (38).JPG",PlantVillage
D00159,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (39).JPG",PlantVillage
D00160,Bell Pepper,"no spots,bite marks,or abnormal areas observed/present on the leaf",Healthy,"images\Bell Pepper,healthy\image (40).JPG",PlantVillage
D00161,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (1).JPG",PlantVillage
D00162,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (2).JPG",PlantVillage
D00163,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (3).JPG",PlantVillage
D00164,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (4).JPG",PlantVillage
D00165,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (5).JPG",PlantVillage
D00166,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (6).JPG",PlantVillage
D00167,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (7).JPG",PlantVillage
D00168,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (8).JPG",PlantVillage
D00169,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (9).JPG",PlantVillage
D00170,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (10).JPG",PlantVillage
D00171,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (11).JPG",PlantVillage
D00172,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (12).JPG",PlantVillage
D00173,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (13).JPG",PlantVillage
D00174,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (14).JPG",PlantVillage
D00175,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (15).JPG",PlantVillage
D00176,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (16).JPG",PlantVillage
D00177,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (17).JPG",PlantVillage
D00178,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (18).JPG",PlantVillage
D00179,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (19).JPG",PlantVillage
D00180,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (20).JPG",PlantVillage
D00181,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (21).JPG",PlantVillage
D00182,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (22).JPG",PlantVillage
D00183,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (23).JPG",PlantVillage
D00184,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (24).JPG",PlantVillage
D00185,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (25).JPG",PlantVillage
D00186,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (26).JPG",PlantVillage
D00187,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (27).JPG",PlantVillage
D00188,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (28).JPG",PlantVillage
D00189,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (29).JPG",PlantVillage
D00190,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (30).JPG",PlantVillage
D00191,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (31).JPG",PlantVillage
D00192,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (32).JPG",PlantVillage
D00193,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (33).JPG",PlantVillage
D00194,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (34).JPG",PlantVillage
D00195,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (35).JPG",PlantVillage
D00196,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (36).JPG",PlantVillage
D00197,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (37).JPG",PlantVillage
D00198,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (38).JPG",PlantVillage
D00199,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (39).JPG",PlantVillage
D00200,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (40).JPG",PlantVillage
D00201,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (41).JPG",PlantVillage
D00202,Blueberry,"no spots,bite marks,or abnormal areas observed/present on the leaf",healthy,"images\Blueberry,healthy\image (42).JPG",PlantVillage
